ID	Title	Text	Source	RecipeType
25	Buffalo Mozzarella & Pepperoni Pizza with a Cauliflower Crust	"Buffalo Mozzarella & Pepperoni Pizza with a Cauliflower Crust. The recipe Buffalo Mozzarella & Pepperoni Pizza with a Cauliflower Crust is ready <b>in roughly 45 minutes</b> and is definitely an awesome <b>gluten free and primal</b> option for lovers of Mediterranean food. One portion of this dish contains approximately <b>33g of protein</b>, <b>41g of fat</b>, and a total of <b>611 calories</b>. For <b>$6.39 per serving</b>, you get a main course that serves 2. A mixture of tomato, egg, pepperoni, and a handful of other ingredients are all it takes to make this recipe so tasty. 1 person has tried and liked this recipe. It is brought to you by Foodista. All things considered, we decided this recipe <b>deserves a spoonacular score of 76%</b>. This score is solid. Try <a href=""https://spoonacular.com/recipes/cauliflower-crust-pizza-with-chickpea-pepperoni-730307"">Cauliflower Crust Pizza with Chickpea ""Pepperoni</a>, <a href=""https://spoonacular.com/recipes/cauliflower-crust-pizza-with-tomatoes-and-mozzarella-862011"">Cauliflower-Crust Pizza With Tomatoes and Mozzarella</a>, and <a href=""https://spoonacular.com/recipes/buffalo-chicken-and-caramelized-onions-pizza-on-cauliflower-crust-560212"">Buffalo Chicken and Caramelized Onions Pizzan on Cauliflower Crust</a> for similar recipes."	https://www.foodista.com/recipe/XX6ZXFRZ/paleo-buffalo-mozzarella-salami-pizza-with-a-cauliflower-crust	Non-Vegetarian
26	Chanterelle and Mangalitsa Speck Pizza	"Chanterelle and Mangalitsa Speck Pizza. The recipe Chanterelle and Mangalitsa Speck Pizza could satisfy your Mediterranean craving in roughly <b>45 minutes</b>. This main course has <b>750 calories</b>, <b>20g of protein</b>, and <b>47g of fat</b> per serving. For <b>$7.49 per serving</b>, this recipe <b>covers 26%</b> of your daily requirements of vitamins and minerals. This recipe serves 2. Not a lot of people made this recipe, and 1 would say it hit the spot. A mixture of mozzarella, salt, butter, and a handful of other ingredients are all it takes to make this recipe so flavorful. It is brought to you by Foodista. Taking all factors into account, this recipe <b>earns a spoonacular score of 57%</b>, which is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/fig-and-mangalitsa-speck-pizza-642779"">Fig and Mangalitsa Speck Pizza</a>, <a href=""https://spoonacular.com/recipes/warm-chanterelle-salad-with-speck-and-poached-eggs-95825"">Warm Chanterelle Salad with Speck and Poached Eggs</a>, and <a href=""https://spoonacular.com/recipes/speck-scamorza-and-radicchio-18740"">Speck, Scamorzan And Radicchio</a>."	https://www.foodista.com/recipe/QBBZYKBH/chanterelle-and-mangalitsa-speck-pizza	Non-Vegetarian
27	How to Make the Ultimate Christmas Fruit Pizza	"How to Make the Ultimate Christmas Fruit Pizza. How to Make the Ultimate Christmas Fruit Pizzan is a <b>lacto ovo vegetarian</b> hor d'oeuvre. This recipe makes 8 servings with <b>480 calories</b>, <b>6g of protein</b>, and <b>24g of fat</b> each. For <b>40 cents per serving</b>, this recipe <b>covers 8%</b> of your daily requirements of vitamins and minerals. It is brought to you by Pink When. This recipe is typical of Mediterranean cuisine. 2 people found this recipe to be yummy and satisfying. From preparation to the plate, this recipe takes around <b>18 minutes</b>. A mixture of baking powder, butter, vanillan extract, and a handful of other ingredients are all it takes to make this recipe so tasty. It can be enjoyed any time, but it is especially good for <b>Christmas</b>. All things considered, we decided this recipe <b>deserves a spoonacular score of 28%</b>. This score is not so awesome. Similar recipes include <a href=""https://spoonacular.com/recipes/how-to-make-the-ultimate-christmas-fruit-pizza-1375027"">How to Make the Ultimate Christmas Fruit Pizza</a>, <a href=""https://spoonacular.com/recipes/ultimate-fruit-pizza-402852"">Ultimate Fruit Pizza</a>, and <a href=""https://spoonacular.com/recipes/mulled-wine-fruit-and-nut-christmas-cake-make-ahead-fruitcake-123112"">Mulled Wine Fruit and Nut Christmas Cake: Make-Ahead Fruitcake</a>."	https://www.pinkwhen.com/christmas-fruit-pizza/	Vegetarian
28	Sweet Potato, Sausage and Caramelized Onion Pizza	"Sweet Potato, Sausage and Caramelized Onion Pizza. Sweet Potato, Sausage and Caramelized Onion Pizza requires about <b>45 minutes</b> from start to finish. For <b>$1.36 per serving</b>, you get a hor d'oeuvre that serves 8. One portion of this dish contains about <b>10g of protein</b>, <b>18g of fat</b>, and a total of <b>366 calories</b>. 1 person were impressed by this recipe. Not a lot of people really liked this Mediterranean dish. This recipe from Foodista requires water, arugula, rosemary, and kosher salt. All things considered, we decided this recipe <b>deserves a spoonacular score of 41%</b>. This score is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/roasted-sweet-potato-balsamic-caramelized-onion-pizza-589783"">Roasted Sweet Potato & Balsamic Caramelized Onion Pizza</a>, <a href=""https://spoonacular.com/recipes/roasted-sweet-potato-caramelized-onion-pizza-with-bchamel-sauce-fontina-cheese-arugula-salad-1230509"">Roasted Sweet Potato & Caramelized Onion Pizza with Béchamel Sauce, Fontina Cheese & Arugula Salad</a>, and <a href=""https://spoonacular.com/recipes/roasted-sweet-potato-caramelized-onion-pizza-with-bchamel-sauce-fontina-cheese-arugula-salad-1230735"">Roasted Sweet Potato & Caramelized Onion Pizza with Béchamel Sauce, Fontina Cheese & Arugula Salad</a>."	https://www.foodista.com/recipe/L22DJCK8/sweet-potato-sausage-and-caramelized-onion-pizza	Non-Vegetarian
29	Golden Potato and Caramelized Onion Flat Bread Pizza	"Golden Potato and Caramelized Onion Flat Bread Pizza. Golden Potato and Caramelized Onion Flat Bread Pizzan is a hor d'oeuvre that serves 3. One serving contains <b>328 calories</b>, <b>6g of protein</b>, and <b>15g of fat</b>. For <b>78 cents per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. 1 person were impressed by this recipe. A mixture of extra virgin olive oil, onion, salt, and a handful of other ingredients are all it takes to make this recipe so yummy. It is a good option if you're following a <b>dairy free, lacto ovo vegetarian, and vegan</b> diet. From preparation to the plate, this recipe takes around <b>1 hour</b>. Only a few people really liked this Mediterranean dish. It is brought to you by Foodista. With a spoonacular <b>score of 54%</b>, this dish is good. Try <a href=""https://spoonacular.com/recipes/potato-and-onion-flat-bread-39849"">Potato and Onion Flat Bread</a>, <a href=""https://spoonacular.com/recipes/potato-bacon-and-caramelized-onion-pizza-596168"">Potato, Bacon and Caramelized Onion Pizza</a>, and <a href=""https://spoonacular.com/recipes/sweet-potato-sausage-and-caramelized-onion-pizza-662605"">Sweet Potato, Sausage and Caramelized Onion Pizza</a> for similar recipes."	https://www.foodista.com/recipe/88BV6PSJ/golden-potato-and-caramelized-onion-flat-bread-pizza	Vegetarian
30	Mini Vegetarian Puff Pastry Pizzas	"Mini Vegetarian Puff Pastry Pizzas. Mini Vegetarian Puff Pastry Pizzas could be just the <b>lacto ovo vegetarian</b> recipe you've been looking for. For <b>$1.93 per serving</b>, this recipe <b>covers 16%</b> of your daily requirements of vitamins and minerals. This recipe makes 12 servings with <b>435 calories</b>, <b>12g of protein</b>, and <b>30g of fat</b> each. If you have puff pastry, arugula, aubergine, and a few other ingredients on hand, you can make it. 1 person found this recipe to be tasty and satisfying. It works well as a main course. It is brought to you by Foodista. From preparation to the plate, this recipe takes approximately <b>45 minutes</b>. Taking all factors into account, this recipe <b>earns a spoonacular score of 42%</b>, which is solid. If you like this recipe, take a look at these similar recipes: <a href=""https://spoonacular.com/recipes/mini-strawberry-puff-pastry-braids-1796281"">Mini Strawberry Puff Pastry Braids</a>, <a href=""https://spoonacular.com/recipes/lemon-raspberry-mini-puff-pastry-tarts-665836"">Lemon Raspberry Mini Puff Pastry Tarts</a>, and <a href=""https://spoonacular.com/recipes/lemon-raspberry-mini-puff-pastry-tarts-1199705"">Lemon Raspberry Mini Puff Pastry Tarts</a>."	https://www.foodista.com/recipe/8YHF4YBZ/mini-vegetarian-puff-pastry-pizzas	Vegetarian
31	Pita Pizzas with Sautéed Apples and Bacon	"Pita Pizzas with Sautéed Apples and Bacon. Pita Pizzas with Sautéed Apples and Bacon requires around <b>45 minutes</b> from start to finish. One portion of this dish contains approximately <b>21g of protein</b>, <b>41g of fat</b>, and a total of <b>746 calories</b>. For <b>$2.17 per serving</b>, you get a main course that serves 2. Head to the store and pick up garlic, bacon, cheddar cheese, and a few other things to make it today. This recipe is liked by 1 foodies and cooks. It is brought to you by Foodista. Overall, this recipe earns a <b>rather bad spoonacular score of 35%</b>. Try <a href=""https://spoonacular.com/recipes/apple-and-bacon-pita-pizzas-707871"">Apple and Bacon Pita Pizzas</a>, <a href=""https://spoonacular.com/recipes/chicken-bacon-ranch-pita-pizzas-546158"">Chicken Bacon Ranch Pita Pizzas</a>, and <a href=""https://spoonacular.com/recipes/pita-pizzas-with-kale-pesto-tomatoes-and-bacon-234000"">Pita Pizzas with Kale Pesto, Tomatoes, and Bacon</a> for similar recipes."	https://www.foodista.com/recipe/4GG333SV/pita-pizzas-with-sauteed-apples-and-bacon	Non-Vegetarian
32	Artichoke, Kalamata, & Sun-Dried Tomato Mini-Pizzas With Garlic and Rosemary	"Artichoke, Kalamata, & Sun-Dried Tomato Mini-Pizzas With Garlic and Rosemary. Artichoke, Kalamata, & Sun-Dried Tomato Mini-Pizzas With Garlic and Rosemary might be a good recipe to expand your hor d'oeuvre collection. This dairy free, lacto ovo vegetarian, and vegan recipe serves 4 and costs <b>42 cents per serving</b>. One portion of this dish contains roughly <b>1g of protein</b>, <b>4g of fat</b>, and a total of <b>47 calories</b>. It is brought to you by Foodista. Only a few people made this recipe, and 1 would say it hit the spot. Head to the store and pick up olive oil, sea salt, kalamatan olives, and a few other things to make it today. From preparation to the plate, this recipe takes about <b>45 minutes</b>. Overall, this recipe earns a <b>rather bad spoonacular score of 16%</b>. <a href=""https://spoonacular.com/recipes/sun-dried-tomato-and-kalamata-olive-bruschetta-590935"">Sun-dried Tomato and Kalamatan Olive Bruschetta</a>, <a href=""https://spoonacular.com/recipes/sun-dried-tomato-and-kalamata-olive-bruschetta-951426"">Sun-dried Tomato and Kalamatan Olive Bruschetta</a>, and <a href=""https://spoonacular.com/recipes/semolina-and-sun-dried-tomato-waffle-pizzas-770290"">Semolinan and Sun-Dried Tomato Waffle-Pizzas</a> are very similar to this recipe."	https://www.foodista.com/recipe/2C4J7GMK/artichoke-kalamata-sun-dried-tomato-mini-pizzas-with-garlic-and-rosemary	Vegetarian
33	Sausage Calzone	"Sausage Calzone. Sausage Calzone takes around <b>45 minutes</b> from beginning to end. This recipe serves 4 and costs $3.6 per serving. One portion of this dish contains about <b>43g of protein</b>, <b>59g of fat</b>, and a total of <b>934 calories</b>. 1 person has tried and liked this recipe. It works well as a main course. This recipe from Foodista requires oregano, bulk sausage, pizza sauce, and pepperoni. Only a few people really liked this Mediterranean dish. Overall, this recipe earns a <b>solid spoonacular score of 48%</b>. Try <a href=""https://spoonacular.com/recipes/sausage-calzone-178553"">Sausage Calzone</a>, <a href=""https://spoonacular.com/recipes/sausage-and-three-cheese-calzone-133663"">Sausage and Three Cheese Calzone</a>, and <a href=""https://spoonacular.com/recipes/italian-sausage-calzone-1462349"">Italian Sausage Calzone</a> for similar recipes."	https://www.foodista.com/recipe/GZ8FLRWF/sausage-calzone	Non-Vegetarian
34	Gluten Free Onion Rings	"Gluten Free Onion Rings. If you have about <b>45 minutes</b> to spend in the kitchen, Gluten Free Onion Rings might be an outstanding <b>lacto ovo vegetarian</b> recipe to try. This hor d'oeuvre has <b>384 calories</b>, <b>8g of protein</b>, and <b>22g of fat</b> per serving. This recipe serves 4. For <b>86 cents per serving</b>, this recipe <b>covers 9%</b> of your daily requirements of vitamins and minerals. This recipe from Foodista requires salt, vegetable oil, baking powder, and bette hagan's pizza/french bread flour mix. 38 people were glad they tried this recipe. All things considered, we decided this recipe <b>deserves a spoonacular score of 34%</b>. This score is not so awesome. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/gluten-free-onion-rings-ii-562910"">Gluten Free Onion Rings II</a>, <a href=""https://spoonacular.com/recipes/gluten-free-baked-onion-rings-616041"">Gluten Free Baked Onion Rings</a>, and <a href=""https://spoonacular.com/recipes/crunchy-gluten-free-onion-rings-1768975"">Crunchy Gluten Free Onion Rings</a>."	https://www.foodista.com/recipe/L5CSWWPM/gluten-free-onion-rings	Vegetarian
35	Sausage & Pepperoni Stromboli	"Sausage & Pepperoni Stromboli. Sausage & Pepperoni Stromboli takes about <b>28 minutes</b> from beginning to end. This recipe serves 6. One serving contains <b>692 calories</b>, <b>32g of protein</b>, and <b>46g of fat</b>. For <b>$2.58 per serving</b>, this recipe <b>covers 19%</b> of your daily requirements of vitamins and minerals. This recipe from asouthern-soul.blogspot.com has 32767 fans. If you have pepperoni, roll of pizza dough, parmesan cheese, and a few other ingredients on hand, you can make it. It works well as a budget friendly main course. Overall, this recipe earns a <b>good spoonacular score of 68%</b>. Similar recipes are <a href=""https://spoonacular.com/recipes/sausage-pepperoni-stromboli-1367373"">Sausage & Pepperoni Stromboli</a>, <a href=""https://spoonacular.com/recipes/sausage-pepperoni-stromboli-1249513"">Sausage & Pepperoni Stromboli</a>, and <a href=""https://spoonacular.com/recipes/pepperoni-sausage-stromboli-570172"">Pepperoni & Sausage Stromboli</a>."	http://asouthern-soul.blogspot.com/2014/11/sausage-pepperoni-stromboli.html	Non-Vegetarian
36	Artisan Garlic Bread With Mozzarella	"Artisan Garlic Bread With Mozzarella. Artisan Garlic Bread With Mozzarella might be just the side dish you are searching for. This recipe serves 6 and costs 75 cents per serving. One portion of this dish contains about <b>5g of protein</b>, <b>17g of fat</b>, and a total of <b>180 calories</b>. This recipe from Foodista requires pizza crust, parmigiana, mozzarella, and pam olive oil flavor. 1 person were glad they tried this recipe. From preparation to the plate, this recipe takes roughly <b>45 minutes</b>. With a spoonacular <b>score of 35%</b>, this dish is rather bad. Similar recipes are <a href=""https://spoonacular.com/recipes/garlic-parmesan-artisan-bread-993738"">Garlic Parmesan Artisan Bread</a>, <a href=""https://spoonacular.com/recipes/rosemary-roasted-garlic-bread-easy-and-artisan-579521"">Rosemary Roasted Garlic Bread: Easy and Artisan</a>, and <a href=""https://spoonacular.com/recipes/garlic-bread-with-mozzarella-116040"">Garlic Bread With Mozzarella</a>."	https://www.foodista.com/recipe/HKJ2GSPG/artisan-garlic-bread-with-mozzarella	Non-Vegetarian
37	Smoked Salmon and Mascarpone Calzone	"Smoked Salmon and Mascarpone Calzone. You can never have too many Mediterranean recipes, so give Smoked Salmon and Mascarpone Calzone a try. For <b>$4.0 per serving</b>, this recipe <b>covers 16%</b> of your daily requirements of vitamins and minerals. This recipe serves 2. One portion of this dish contains about <b>29g of protein</b>, <b>47g of fat</b>, and a total of <b>940 calories</b>. This recipe is liked by 5 foodies and cooks. If you have pizza dough, leek, salmon, and a few other ingredients on hand, you can make it. It works well as a rather pricey main course. It is a good option if you're following a <b>pescatarian</b> diet. It is brought to you by Foodista. From preparation to the plate, this recipe takes around <b>45 minutes</b>. Overall, this recipe earns a <b>good spoonacular score of 64%</b>. If you like this recipe, you might also like recipes such as <a href=""https://spoonacular.com/recipes/smoked-salmon-and-mozzarella-calzone-87399"">Smoked Salmon and Mozzarella Calzone</a>, <a href=""https://spoonacular.com/recipes/smoked-salmon-pizza-with-mascarpone-and-capers-29877"">Smoked-Salmon Pizza with Mascarpone and Capers</a>, and <a href=""https://spoonacular.com/recipes/smoked-salmon-horseradish-mascarpone-in-wonton-cups-584727"">Smoked Salmon & Horseradish Mascarpone in Wonton Cups</a>."	https://www.foodista.com/recipe/PB3V8BYG/smoked-salmon-and-mascarpone-calzone	Non-Vegetarian
38	Sundried Tomato,Olive,Rosemary and Thyme Foccacia Bread	"Sundried Tomato,Olive,Rosemary and Thyme Foccacia Bread. Sundried Tomato,Olive,Rosemary and Thyme Foccacia Bread is a <b>dairy free</b> recipe with 6 servings. One serving contains <b>121 calories</b>, <b>5g of protein</b>, and <b>5g of fat</b>. For <b>77 cents per serving</b>, this recipe <b>covers 6%</b> of your daily requirements of vitamins and minerals. This recipe from Foodista requires pizza base mix, active yeast, sundried tomatoes, and olives. 1 person found this recipe to be flavorful and satisfying. Not a lot of people really liked this side dish. From preparation to the plate, this recipe takes about <b>45 minutes</b>. With a spoonacular <b>score of 53%</b>, this dish is solid. Similar recipes include <a href=""https://spoonacular.com/recipes/sundried-tomato-foccacia-with-rosemary-536017"">Sundried Tomato Foccacia with Rosemary</a>, <a href=""https://spoonacular.com/recipes/thyme-pork-chops-with-sundried-tomato-zucchini-noodles-907259"">Thyme Pork Chops with Sundried Tomato Zucchini Noodles</a>, and <a href=""https://spoonacular.com/recipes/sundried-tomato-and-black-olive-pizza-476412"">Sundried Tomato and Black Olive Pizza</a>."	https://www.foodista.com/recipe/J332ZZGL/sundried-tomatooliverosemary-and-thyme-foccacia-bread	Non-Vegetarian
